lock, alock, ttaslock, taslock, mutex
ttaslock, 0.06318291607560479, 0.012405473449397159, 0.0036736319344081343, 0.0017204788299453287, 0.0007313104001264409
taslock, 0.06268781619688842, 0.014870219623972388, 0.004169579619462343, 0.0018278774153209598, 0.00042601570022298844
mutex, 0.07968281597524418, 0.010271739798993738, 0.004562854009335693, 0.0013843733368531454, 0.0008282928850507389
alock, 0.13791949117080926, 0.005482204228344022, 0.0014098288026650016, 0.0004799257300736105, 0.0002111528089049578
